ATS,Number of Jobs
Total,21184
Greenhouse,2283
Workday,1732
SmartRecruiters,1137
Lever,740
SelectMinds,671
iCIMS,626
LinkedIn,254
SAP SuccessFactors,161
Findly,145
CSOD,134
Jobvite,73
Dover,73
Workable,60
AshbyHQ,34
JazzHR,30
BambooHR,22
TeamTailor,20
Tal.net,20
Taleo,18
Symphony Talent,16
Folk,15
ADP,15
Personio,15
ChangeWorkNow,14
gr8people,10
Avature,9
PinpointHQ,9
Eploy,8
Ambertrack,7
Paylocity,6
Freshteam,6
BrassRing,6
Sage,6
Webrecruit,5
JobScore,5
Rippling,4
Group GTI,4
HR Cloud,4
Recruitee,4
Eightfold,3
Lano,3
njoyn,3
CandidATS,2
factorial,1
Zoho Recruit,1
Comeet,1
ClearCo,1
Jobsoid,1
