Company Name,Website
wh-smith,https://whsmithplc.co.uk
sumitomo-electric,https://sumitomoelectric.com
adm,https://adm.com
atento,https://atento.com
abbvie,https://abbvie.com
allianz,https://allianz.com
samsonite,https://corporate.samsonite.com
wpp,https://wpp.com
southern-electric,https://sse.com
anglo-american,https://angloamerican.com
ch-and-co,https://chandcogroup.com
ssp,https://foodtravelexperts.com
biffa,https://biffa.co.uk
compagnie-financiere-richemont,https://richemont.com
bae-systems,https://baesystems.com
raytheon-technologies,https://rtx.com
dsm,https://dsm.com
hitachi,https://hitachi.com
lg,https://lg.com
kpmg,https://kpmg.com
db-schenker,https://dbschenker.com
cisco,https://cisco.com
adecco,https://adecco-jobs.com
snc-lavalin,https://snclavalin.com
bombardier-transportation-uk,https://alstom.com
network-rail,https://networkrail.co.uk
firstgroup,https://firstgroupplc.com
hays,https://hays.co.uk
s4-capital,https://s4capital.com
lyreco,https://lyreco.com
barratt-development,https://barrattdevelopments.co.uk
baringa-partners,https://baringa.com
synopsys,https://synopsys.com
northern-trust,https://northerntrust.com
john-lewis,https://johnlewis.com
sthree,https://sthree.com
natwest,https://natwestgroup.com
capita,https://capita.com
serco,https://serco.com
mitsubishi-hc-capital-uk,https://mitsubishihccapital.co.uk
frazer-nash-consultancy,https://fnc.co.uk
cambridge-city-council,https://cambridge.gov.uk
osborne-clarke,https://osborneclarke.com
christian-dior,https://dior-finance.com
go-ahead,https://go-ahead.com
euronext,https://euronext.com
safran,https://safran-group.com
inizio,https://inizio.health
stagecoach,https://stagecoachgroup.com
quadient,https://quadient.com
fujitsu,https://fujitsu.com
rexel,https://rexel.com
guardian,https://theguardian.com
yougov,https://yougov.co.uk
essentra,https://essentraplc.com
mitie,https://mitie.com
criteo,https://criteo.com
whitbread-court,https://whitbread.co.uk
trainline,https://thetrainline.com
volex,https://volex.com
amdocs,https://amdocs.com
pennon,https://pennon-group.co.uk
schroders,https://schroders.com
bunzl,https://bunzl.com
bristol-water,https://bristolwater.co.uk
scc,https://scc.com
softcat,https://softcat.com
alphabet,https://abc.xyz
price-waterhouse-coopers,https://pwc.com
kid-asa,https://kid.no
thule,https://thulegroup.com
engcon,https://engcon.com
erm,https://erm.com
high-speed-1,https://highspeed1.co.uk
worldline,https://worldline.com
getlink,https://getlinkgroup.com
intertek,https://intertek.com
midland-heart,https://midlandheartgroup.org.uk
deutsche-lufthansa,https://lufthansagroup.com
dfs-furniture,https://dfscorporate.co.uk
gym,https://tggplc.com
gamma,https://gamma.co.uk
entain,https://entaingroup.com
unilever,https://unilever.com
kronos-saashr,https://ukg.com
woolworths,https://woolworthsgroup.com.au
cae,https://cae.com
goodman,https://ce.goodman.com
evn,https://evn.at
cargill,https://cargill.com
faurecia,https://faurecia.com
general-motors,https://gm.com
arla,https://arla.com
gea,https://gea.com
ronal,https://ronalgroup.com
ab-volvo,https://volvogroup.com
pfizer,https://pfizer.com
merck-and-co,https://merck.com
sanofi,https://sanofi.com
deutsche-post,https://dhl.com
ernst-and-young,https://ey.com
siemens,https://siemens.com
siemens-gamesa-renewable-energy,https://siemensgamesa.com
aker-solutions-asa,https://akersolutions.com
apple,https://apple.com
coupa-software,https://coupa.com
aecom,https://aecom.com
suez,https://suez.com
air-liquide,https://airliquide.com
verizon,https://verizon.com
bnp-paribas,https://bnpparibasleasing.com
mettler-toledo,https://mt.com
engie,https://engie-polska.pl
eramet,https://eramet.com
carrefour,https://carrefour.com
informa,https://informa.com
daimler,https://group.mercedes-benz.com
vinci,https://vinci.com
babcock,https://babcockinternational.com
persimmon,https://persimmonhomes.com
digital-space,https://digitalspace.co.uk
thyssenkrupp-marine-systems,https://thyssenkrupp-marinesystems.com
heathrow,https://heathrow.com
danske-bank-a-slash-s,https://danskebank.com
seche-environnement,https://groupe-seche.com
veolia,https://veolia.co.uk
rubix,https://rubix.com
deutsche-telekom,https://t-mobile.com
hertz,https://hertz.com
uber,https://uber.com
multiconsult-asa,https://multiconsultgroup.com
croda,https://croda.com
pacific-gas-and-electric-company-pg-and-e,https://pge.com
gilead-sciences,https://gilead.com
semtech,https://semtech.com
thermo-electron-led,https://thermofisher.com
volkswagen,https://volkswagen-group.com
electrocomponents,https://rsgroup.com
hss-hire,https://hsshiregroup.com
discoverie,https://discoverieplc.com
segro,https://segro.com
ds-smith,https://dssmith.com
paper,https://internationalpaper.com
lyondellbasell,https://lyondellbasell.com
next,https://nextplc.co.uk
lanxess,https://lanxess.com
evonik,https://corporate.evonik.com
covestro,https://covestro.com
schneider,https://schneider.com
dr-ing-hc-f-porsche,https://porsche.com
iberia,https://iberia.com
amazon,https://aboutamazon.com
okta,https://okta.com
linkedin,https://linkedin.com
dell,https://dell.com
cummins,https://cummins.com
honeywell,https://honeywell.com
granges,https://granges.com
manpowergroup,https://manpowergroup.com
vodafone,https://vodafone.com
paramount-global,https://paramount.com
posco,https://posco.com
forsee-power,https://forseepower.com
nxp-corporate,https://nxp.com
rio-tinto,https://riotinto.com
arcelormittal,https://corporate.arcelormittal.com
tata-communications,https://tatacommunications.com
henry-schein,https://henryschein.com
danfoss,https://danfoss.com
ge,https://ge.com
atlas-copco,https://atlascopco.com
iberdrola,https://iberdrola.com
st,https://st.com
huawei,https://huawei.com
netflix,https://netflix.com
impilo,https://impilo.se
solvay,https://solvay.com
scottish-leather,https://scottishleathergroup.com
indorama-ventures,https://indoramaventures.com
renewables-infrastructure,https://trig-ltd.com
accenture,https://accenture.com
continental,https://continental.com
headlam,https://headlam.com
arca-continental,https://arcacontal.com
magna,https://magna.com
wingtech-technology,https://wingtech.com
jabil,https://jabil.com
coventry-building-society,https://coventrybuildingsociety.co.uk
ntt-data,https://nttdata.com
foxconn,https://foxconn.com
celestica,https://celestica.com
lam-research,https://lamresearch.com
lonza,https://lonza.com
enel,https://enel.com
eon,https://eon.com
zuora,https://zuora.com
travis-perkins,https://travisperkins.co.uk
cgi,https://cgi.com
tdk,https://tdk.com
brenntag,https://brenntag.com
cognizant,https://cognizant.com
wsp,https://wsp.com
catalent,https://catalent.com
facebook,https://about.facebook.com
clariant,https://clariant.com
arco,https://arcoplatform.com
tuv-sud,https://tuvsud.com
bosch,https://bosch.com
die-post-la-poste-la-posta-ch,https://laposte.fr
american-express,https://americanexpress.com
marriott,https://marriott.com
american-telephone-and-telegraph,https://att.com
lexisnexis,https://lexisnexis.co.uk
herbert-smith-freehills,https://herbertsmithfreehills.com
swiss-re,https://swissre.com
costain,https://costain.com
orsted,https://orsted.com
marsh-and-mclennan-companies,https://marshmclennan.com
british-telecommunications,https://bt.com
carlsberg,https://carlsberggroup.com
glaxosmithkline,https://gsk.com
sage,https://axisx3.com
virgin-management,https://o2.com
o2,https://o2.co.uk
british-united-provident-association,https://bupa.com
3i,https://3i.com
inchcape,https://inchcape.com
solutions30,https://solutions30.com
digital-realty,https://digitalrealty.com
financial-conduct-authority,https://fca.org.uk
randstad,https://randstad.com
ag-insurance,https://ag.be
mitsubishi-electric,https://mitsubishielectric.com
forvia,https://forvia.com
quess,https://quesscorp.com
nestle,https://nestle.com
expedia,https://expediagroup.com
eversheds-sutherland,https://eversheds-sutherland.com
tk-elevator,https://tkelevator.com
mclaren-racing,https://mclaren.com
globe-newswire,https://gn.com
aviva,https://aviva.co.uk
dialight,https://dialight.com
andera-partners,https://anderapartners.com
atos,https://atos.net
aramark,https://aramark.com
dura-vermeer,https://duravermeer.nl
postnl,https://postnl.post
arcadis,https://arcadis.com
europris,https://investor.europris.no
kongsberg-gruppen,https://kongsberg.com
crh,https://crh.com
