"Industry","Sub-Industry"
"Consulting","Economic Consulting"
"Consulting","Financial Consulting"
"Consulting","Management Consulting"
"Consulting","Strategy Consulting"
"Consulting","Sustainability Consulting"
"Consumer, FMCG & Retail","Consumer Goods & FMCG"
"Consumer, FMCG & Retail","Retail & Fashion"
"Consumer, FMCG & Retail","Supply Chain & Logistics"
"Engineering, Energy & Infrastructure","Architecture"
"Engineering, Energy & Infrastructure","Energy"
"Engineering, Energy & Infrastructure","Engineering"
"Engineering, Energy & Infrastructure","Property & Construction"
"Financial Services","Accounting, Audit & Tax"
"Financial Services","Insurance & Pensions"
"Financial Services","Retail & Corporate Banking"
"Investment Banking & Asset Management","Asset & Investment Management"
"Investment Banking & Asset Management","Investment Banking"
"Investment Banking & Asset Management","Private Equity"
"Investment Banking & Asset Management","Sales & Trading"
"Healthcare & Life Sciences", "Medicine & Dentistry"
"Healthcare", "Healthcare Management"
"Law","In-house Law"
"Law","Solicitor"
"Law","Barrister"
"Management & Operations","Business Management"
"Management & Operations","Human Resources (HR)"
"Management & Operations","Operations & Communications"
"Marketing, Media & PR","Journalism & Publishing"
"Marketing, Media & PR","Marketing"
"Marketing, Media & PR","Media, Film & TV"
"Marketing, Media & PR","Public Relations (PR)"
"Pharmaceuticals & Science","Pharmaceuticals"
"Pharmaceuticals & Science","Science & Research"
"Public Sector & Charity","Charity & Social Enterprise"
"Public Sector & Charity","Education & Teaching"
"Public Sector & Charity","Postgraduate Degrees"
"Public Sector & Charity","Public Sector & Government"
"Sales, Recruitment & Commercial","Recruitment"
"Sales, Recruitment & Commercial","Sales & Commercial"
"Technology & IT Infrastructure","Consulting & Project Management"
"Technology & IT Infrastructure","Cyber Security"
"Technology & IT Infrastructure","Data Science & Analytics"
"Technology & IT Infrastructure","IT Infrastructure"
"Technology & IT Infrastructure","Software Development"
"Transport & Logistics","Aerospace & Defence"
"Transport & Logistics","Automotive"
"Other", "Social Work"
"Other", "Hospitality & Tourism"
"Other", "Sports & Leisure"
"Other", "Other"
