ATS,Number of Jobs
Greenhouse,2228
Workday,1691
SmartRecruiters,1132
Lever,688
SelectMinds,670
iCIMS,605
LinkedIn,237
SAP SuccessFactors,160
Findly,145
CSOD,133
Jobvite,73
Dover,72
AshbyHQ,23
JazzHR,21
TeamTailor,20
Workable,17
BambooHR,16
Symphony Talent,16
Tal.net,16
Folk,15
ADP,13
ChangeWorkNow,13
gr8people,10
Avature,9
PinpointHQ,9
Taleo,8
Eploy,7
Ambertrack,7
Sage,6
BrassRing,6
Webrecruit,5
Freshteam,5
JobScore,5
HR Cloud,4
Recruitee,3
njoyn,3
Group GTI,3
Lano,3
Eightfold,2
CandidATS,2
Personio,2
Comeet,1
factorial,1
Zoho Recruit,1
ClearCo,1
Jobsoid,1
