Company Name,Title,job_posting_url,Application Deadline,Type,Location,Country,Industry,Industry Sub-Category,Seniority,Office Status
Natwest Group,Internal Audit & Risk Internship,https://jobs.natwestgroup.com/jobs/13295700-internal-audit-risk-internship,Rolling,Internship,London,UK,Banking,Audit,Entry-level,Hybrid
Coventry Building Society,Legal Risk & Controls Summer Internship,https://www.coventrycareers.co.uk/vacancies/7603/graduate-internship--legal-risk--control-legal-counsel.html,Rolling,Internship,London,UK,Banking,Law,Entry-level,Hybrid
Charles River Associates ,Summer Internship Programme (EU),https://boards.greenhouse.io/embed/job_app?for=charlesriverassociates&token=5395642,N/A,Internship,London,UK,Consulting,Economic Consulting,Entry-level,Hybrid
Wood Mackenzie,Consulting Internship,https://jobs.smartrecruiters.com/Verisk/743999946517680-consulting-intern,N/A,Internship,Edinburgh,UK,Consulting,Energy Consulting,Entry-level,Hybrid
FTI Consulting,Summer Internship Programme ,https://fticonsult.referrals.selectminds.com/ftistudentcareers/jobs/2024-summer-internship-economic-financial-consulting-17434,31/01/2024,Internship,London,UK,Consulting,Financial Consulting,Entry-level,Hybrid
Korn Ferry,Summer Internship Programme (EU),https://kornferry.tal.net/vx/appcentre-ext/brand-4/spa-1/candidate/so/pm/1/pl/2/opp/15717-Summer-2024-Internship-London/en-GB,01/03/2024,Internship,London,UK,Consulting,HR Consulting,Entry-level,Hybrid
LCP,Insurance Summer Internship,https://careers.lcp.com/search-all-vacancies/job-vacancy?id=219839,N/A,Internship,London,UK,Consulting,Insurance Consulting,Entry-level,Hybrid
Gartner,EU Consulting Summer Internship,https://jobs.gartner.com/jobs/job/79739-european-consulting-internship-summer-2024-masters-2025-graduates-multiple-locations?source=UNV-10349,N/A,Internship,London,UK,Consulting,Market Research,Entry-level,Hybrid
OC&C Strategy Consultants,Graduate Summer internship,https://careers.occstrategy.com/vacancies/243/graduate-summer-internship-2024-london-office.html,07/01/2024,Internship,London,UK,Consulting,Strategy Consulting,Entry-level,Hybrid
McKinsey & Company,Associate Intern,https://www.mckinsey.com/careers/search-jobs/jobs/associateintern-14918,Rolling,Internship,London,UK,Consulting,Strategy Consulting,Entry-level,Hybrid
Baringa,Summer Undergraduate Internship,https://baringa.csod.com/ux/ats/careersite/4/home/requisition/1369?c=baringa,01/01/2024,Internship,London,UK,Consulting,Strategy Consulting,Entry-level,Hybrid
LEK Consulting,Summer Associate,https://lek.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-2/candidate/so/pm/1/pl/1/opp/3343-Summer-Associate-London-Office-2024/en-GB,07/01/2024,Internship,London,UK,Consulting,Strategy Consulting,Entry-level,Hybrid
Accuracy,Finance Internship,https://careers.accuracy.com/,Rolling,Internship,London,UK,Consulting ,M&A,Entry-level,Hybrid
PWC,Audit Summer Internship,https://jobs.pwc.co.uk/student/uk/en/apply?jobSeqNo=PUDPUNUK473968WDEXTERNALENUK&step=1,Rolling,Internship,London,UK,Finance ,Audit,Entry-level,Hybrid
BDO,Summer Internship Programme ,https://careers.bdo.co.uk/job/birmingham/2024-summer-internship-programme/1469/6522969600?source=BrightNetwork&utm_source=BrightNetwork&utm_medium=JobPosting&utm_campaign=33_543901_EarlyCareers_Graduates_2023&utm_term=1x1&utm_content=SummerPlacementProgramme,02/03/2024,Internship,Various,UK,Finance ,Audit,Entry-level,Hybrid
Millenium Management,Finance Internship,https://trkr.app/vacancy/finance-intern-2024/,29/12/2023,Internship,London,UK,Finance ,Core Infrastructure,Entry-level,Hybrid
Brevan Howard ,Finance Summer Internship,https://wd3.myworkdaysite.com/en-US/recruiting/brevanhoward/BH_ExternalCareers/job/London-82/Summer-Internship_JR100486,Rolling,Internship,London,UK,Finance ,Financial Markets,Entry-level,Hybrid
Cerberus Capital Management,CES Asset Management Summer Internship,https://cerberus.wd1.myworkdayjobs.com/en-US/CerberusCareers/job/London-United-Kingdom/XMLNAME-2024-UK-Summer-CES-Asset-Management-Internship_R1172?locations=220ccf21815501decd9e5d469507c05f,Rolling,Internship,London,UK,Investment and Asset Management,Asset Management,Entry-level,Hybrid
Royal Bank of Canada ,Summer Analyst - Corporate Banking,https://rbccmgraduates.gtisolutions.co.uk/2024summer-analystcorporate-banking/260/viewdetails,Rolling,Internship,London,UK,Investment and Asset Management,Corporate Finance ,Entry-level,Hybrid
Royal Bank of Canada ,Summer Analyst - Finance,https://rbccmgraduates.gtisolutions.co.uk/2024summer-analyst---global-investment-banking/255/viewdetails,Rolling,Internship,London,UK,Investment and Asset Management,Finance,Entry-level,Hybrid
Hymans Robertson,Summer Internship Programme,https://hymans.current-vacancies.com/Jobs/Advert/3264996?cid=2054&t=Summer-Internship-Programme,31/01/2024,Internship,London,UK,Investment and Asset Management,Investment and Asset Management,Entry-level,Hybrid
